ID_new,Job_Role,Location,Avg_num_response,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_num,Q10,Q10_num,Q11,Q11_num,Q12,Q12_num,Q13,Q13_num,Q14,Q14_num,Q15,Q15_cat,Q16,Q16_cat,Q17,Q17_num,Q18,Q18_cat,Q19,Q19_cat
id-118896987030,Project Management,Alabama - Roanoke Office and Shop,64.61538462,Neither agree nor disagree,60,Strongly disagree,20,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,Disagree,40,Disagree,40,Agree,80,Neither agree nor disagree,60,Interacting with vendors and clients. It feels like I am able to make a difference in how they perceive the construction culture. ,Work Environment & Culture,"My least favorite is the recent merger. It feels more like an assimilation than a merger since a merger combines ideologies from both offices. A merger also includes the training and talents of both divisions. Sadly, it has been an assimilation since our leaders from the Norcross office rarely have their voices heard anymore. There have been many whispers but sadly no one want to speak aloud or become singled out as the ""whistle blower."" A healthy relationship consists of input from all parties. When that doesn't occur, it is considered a dictatorship and not a democracy. ",Process & Efficiency,Neither satisfied nor dissatisfied,60,"I would change my manager. When he speaks to the executive staff and his peers, he speaks to them with the utmost respect. I have witnessed him practices active listening and respond in a way that reassures them that he was listening. However, when he and I engage, it turns into a one-sided affair while many of my ideas are misinterpreted or dismissed. He's a manager but he is not a leader. Leaders know how to speak to workers and executives with equal footing. Managers merely know how to follow and enforce policies. ",Management & Leadership,"SteelFab Inc. was established in 1955 because Mr. Sherrill wanted to support his family. Since that time, his vision has supported many families, and I am grateful. It saddens my heart when ""new blood"" comes into the company and ruin the moral of hard workers due to their personal agendas or fragile egos. SteelFab Inc. is a family. I believe people need to remember this when placed into positions of authority. Stuart and Glenn have maintained the utmost professionalism, and they have used their authority to mentor, train, and develop many workers; me included. However, if anyone joins the SteelFab Inc. family and doesn't mimic their leadership examples, then that person is not fit to lead (in my opinion). I have a team of workers that look up to me for guidance, training, and knowledge on my subject matter. I do my best to serve them, so they feel valued and heard. I believe I am worth the same when engaging with my manager too. It doesn't happen yet it doesn't stop me from doing my job and treating others with the utmost respect (regardless of their titles).",Gratitude & Appreciation
id-118892664254,Project Management,North Carolina - Charlotte Corporate Office (Westport and Old Dowd),66.15384615,Agree,80,Agree,80,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Disagree,40,Agree,80,Neither agree nor disagree,60,The actual work itself.  Doing the things that actually impact the projects I'm on.  ,Making an Impact,The varying degrees of accountability depending on office and/or shop location.  It feels like some departments and/or offices are held to different standards.  ,Management & Leadership,Satisfied,80,Recognition beyond just how long someone has worked at SteelFab.,Other,,No Response
id-118892689809,Shop Leadership,Oregon - Tangent Office and Shop,66.15384615,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly disagree,20,Agree,80,Neither agree nor disagree,60,"The understanding of helping each other, which doesn't happen but i believe in the concept",People & Relationships,A steady flow of fire drills and emergency jobs that disrupt the flow of the shops.,Physical Environment,Neither satisfied nor dissatisfied,60,Stop having the PM's think they can run the shop. And have the plant managers push back on them more. ,Management & Leadership,,No Response
id-118893889498,Shop Leadership,South Carolina - York Office and Shop,66.15384615,Agree,80,Neither agree nor disagree,60,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Disagree,40,Neither agree nor disagree,60,the people i work with,People & Relationships,some times i have to wait on parts to long because of parts supply,Process & Efficiency,Satisfied,80,some times it takes to long to get things done due to management,Management & Leadership,,No Response
id-118893967965,Estimating,South Carolina - York Office and Shop,66.15384615,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Relationships with customers.,People & Relationships,"Internal corporate fighting between offices for customers and projects. Limited Dental Coverage. Out of pocket payment for glasses and contacts. Medical Insurance out of pocket cost, and co pays.",Compensation & Benefits,Neither satisfied nor dissatisfied,60,Lower total out of pocket cost for medical insurance.,Compensation & Benefits,,No Response
id-118895704433,Estimating,North Carolina - Raleigh Office,66.15384615,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Disagree,40,Disagree,40,Agree,80,Disagree,40,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,When a project is won and seeing the final product in the community,Making an Impact,"The minimal amount of feedback given about a project we won that I estimated, good or bad.  Especially the negative so I can adjust future estimates.",Communication Issues,Satisfied,80,TBD,Other,,No Response
id-118896036268,Document Control,North Carolina - Raleigh Office,66.15384615,Agree,80,Disagree,40,Disagree,40,Agree,80,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Disagree,40,Agree,80,Agree,80,The challenge of something different every day ,Challenges & Problem Solving,The volume and lack of leadership hearing our needs when expressed multiple times ,Management & Leadership,Satisfied,80,I would change overall pay structure to compensate people for their worth and change the large bonus structure once a year to a minimal bonus if at all ,Compensation & Benefits,,No Response
id-118897287828,Shop Leadership,North Carolina - Charlotte Shop,66.15384615,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Disagree,40,Disagree,40,Agree,80,Agree,80,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,being able to provide for my family through hard work and dedication.,Compensation & Security,"There is too much overlap on our payscale.   for example, a leadman topout pay is $3 over the base pay for a supervisor.  There is no incentive to want to do more or to want to be more.  Leadership used to be goal that employees tried to become, but now it seems they are content with making $2 less than the pay of a promotion and not have any of the responsibilities.",Compensation & Benefits,Satisfied,80,"If we are in charge of a department on first shift and my second shift supervisor reports to us and has less responsibility, then why is it that with their $2 shift differential, that we would be making less money if we are both topped out and first shift takes all of the burden of running the department? It doesn't make any sense.",Compensation & Benefits,"All in all, things are going great.  Always room for continuous improvement.  Also, with the pay scale, I would not raise the base pay when I raise the top out pay.  there needs to be more of a separation between the two.  Some of these employees only have $3 to go from hired and topped out.",Compensation
id-118898099071,Quality Control,North Carolina - Charlotte Shop,66.15384615,Disagree,40,Agree,80,Agree,80,Disagree,40,Disagree,40,Agree,80,Agree,80,Agree,80,Strongly disagree,20,Agree,80,Agree,80,Agree,80,I enjoy the opportunity to work with so many younger man and woman and teach them the welding process ,People & Relationships,The politics of leadership and favoritism of certain employees  ,Management & Leadership,Satisfied,80,to cross train more employees to do more positions to compensate for absenteeism ( utility operators )   ,Training & Development,I'm relatively pleased with the company and being able to work here and look forward to personal growth within the company  ,Gratitude & Appreciation
id-118893960980,Project Management,Georgia - Atlanta Office,67.69230769,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Disagree,40,Contributing to real finished products. Being able to see it come together after all the hard work and contributions.,Making an Impact,The stress of the industry. ,Workload & Hours,Neither satisfied nor dissatisfied,60,More resources available to help manage work life balance.,Work-Life Balance,,No Response
id-118893963357,Project Management,South Carolina - Specialty Metals Division,67.69230769,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Seeing a finished product that I was a part of,Making an Impact,Stress of thinking about work when at home,Workload & Hours,Satisfied,80,Better training,Training & Development,,No Response
id-118893969967,Shop Leadership,North Carolina - Charlotte Shop,67.69230769,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,"I enjoy building things off of drawing. I enjoy fire and manipulating steel with forms of heat. I enjoy teaching others  I do this alot, but as a supervisor I spend alot of time doing none of this (I'm not complaining, I'm compensated.) I'm often more in line with an HR/babysitting/ organize everyone type of job. As far as teaching, theres not always time, and some don't wont to learn MORE or have the aptitude to learn MORE, or think they have already got it all. ",Learning & Growth,"The never ending rule enforcement. (again, I am compensated to do this, not complaining.) I just have a vision of people eager to come in, work up to the buzzer, and learn more everyday. Where people get so good at their jobs that it's easier for them and me and the company makes more money. A vision where people appreciate their tenure so much that they are eager to work to the buzzer and help and teach the next generation through there mistakes.  Things are getting better but there is a gap of people fixing to retire and of the fairly new generation. The older generation is about to retire and the younger generation is just starting to learn. The middle doesn't really exist.    Steel Fab has and ego problem. There are lots of people who think they know far more than they do and you can't tell them anything. That's capping off how much everyone grow's.   Most people need more training here.",Other,Satisfied,80,"There are lot's of good things about Steel Fab. I've had a lot of years here so there must be a lot of good. All and all it's probably one of the best places for our pay.     No place is perfect so obviously there's going to be some bad. There's a lot of resentment from the unfairness of the passed with lots of people. Personally, I try to live in the present, but dealing with everyone and their resentments and egos gets old. It's a culture that has gotten better but still a little broken.  We also haven't gotten the hours quite right. Also that's gotten better, pay I think better. Personally over 5 years going from mandatory 70 down to an average of about 44 still leaves alot to be desired. Much better balance, but most of my crew has always wanted the neighborhood of 54 hours. 60 for a need period and back to 46 or 48. The last couple of years hasn't been that way.",No Changes Needed,"All and all Steel Fab is and has been a good company.  I feel things are better than a few years ago. We had alot of problems 10 years ago that is still affecting the culture today. Lots of training is needed in lots of areas, but people need also to be receptive to being trained.    One question, do I receive praise frequently, all I need is fair compensation. If I'm getting paid I must be doing well.",Gratitude & Appreciation
id-118894023336,Shop Leadership,North Carolina - Fayetteville,67.69230769,Agree,80,Neither agree nor disagree,60,Disagree,40,Strongly agree,100,Agree,80,Strongly disagree,20,Agree,80,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,The open opportunity to advance in roles once adequate performance is recognized. ,Learning & Growth,"Work/Labor distribution is inadequate. Many roles and titles are nonexistent or underfilled, leading to people performing multiple jobs and not fulfilling responsibilities to their highest extent due to being spread thin. ",Workload & Hours,Satisfied,80,"Employ more key, overlooked roles within the shop to increase efficiency. ",Workload & Staffing,,No Response
id-118894034141,Shop Employee,Oklahoma - Durant Shop,67.69230769,Agree,80,Agree,80,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Disagree,40,Disagree,40,Agree,80,Agree,80,Disagree,40,The people I work with.,People & Relationships,The amount of hours I spend at work. We spend more time at work then we spend with our families.,Workload & Hours,Satisfied,80,Work and life balance.  ,Work-Life Balance,,No Response
id-118894803440,Administrative Support,North Carolina - Charlotte Corporate Office (Westport and Old Dowd),67.69230769,Agree,80,Agree,80,Strongly agree,100,Strongly disagree,20,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Working amongst a few friends.,People & Relationships,Long days.,Workload & Hours,Neither satisfied nor dissatisfied,60,More flexibility and freedom ,Work-Life Balance,,No Response
id-118892696340,Shop Leadership,Arizona - Phoenix Office,69.23076923,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,Neither agree nor disagree,60,Disagree,40,Disagree,40,Disagree,40,when I can use my creativity,Other,The lack up help ,Other,Satisfied,80,Nothing comes to mind. ,No Changes Needed,,No Response
id-118897779069,Shop Leadership,Washington - Spokane Shop,69.23076923,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,My coworkers,People & Relationships,The schedules and 6 days a week,Workload & Hours,Neither satisfied nor dissatisfied,60,Scheduling ,Workload & Staffing,I enjoy my job but we more often than not have overwhelming schedules which leaves very little time for family at times,Heavy Workload
id-118892657342,Project Management,Texas - Allen Office,70.76923077,Strongly agree,100,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Disagree,40,Disagree,40,Agree,80,Agree,80,Strongly agree,100,Neither agree nor disagree,60,"I love getting to see the process of erection. I have always enjoyed the process of ""Making"" and this job lets me see it in real time on a massive scale.",Making an Impact,"The long hours can be a bit tough, but they keep me from having to bring work home with me.",Workload & Hours,Satisfied,80,"Upgraded computers would be a huge help. If they are not plugged in, they run quite slow.",Physical Environment,Leadership at this office is outstanding. David and Josh are constantly on my side and always ready and able to help.,Gratitude & Appreciation
id-118892681953,Purchasing,Washington - Spokane Shop,70.76923077,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,The feeling of getting things accomplished each day.,Other,decline to answer,Other,Satisfied,80,nothing comes to mind at this time,No Changes Needed,,No Response
id-118892955627,Programmer,North Carolina - Charlotte Shop,70.76923077,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,WORKING ON MAJOR PROJECTS AND SEEING MY ROLE IN A FINISHED JOB/PROJECT,Making an Impact,HAVING TO BE AWARE OF MISTAKES,Other,Neither satisfied nor dissatisfied,60,"1. I feel that our pay scale for our department could be better. Every role in the company is vital to overall success of the company. However, it feels like we are under appreciated based on the pay scale. I was on the shop floor before my position as programmer. I was able to learn and operate all of our CNC machines. We have 9 machines in the PLATE department, not including the Robotic Welding, Shear & Press.         I am now programming for all of our machines. My previous experience and training have given me the necessary skills & knowledge to perform my duties. I feel it is required to have machining background in order to be successful in programming. Understanding how our machines and shop function will ensure productivity and efficiency.       Our company motto is ""Continuous  Improvement"" and I truly believe in this. It is why I strive to learn everything I can about the various day to day operations in the company. Although my experiences & skills have given me an advantage as a programmer. I feel it does not reflect that on our pay scale.    2.  A majority of our time is spent looking over and editing drawings, numbers, coordinates, dimensions & machine codes. Programming work involves a lot of focus and concentrations. One wrong keystroke can cause issues on the machines and impact shop productivity. Being in the shop office can be very distracting with the constant foot traffic, grinding and banging from the shop. With that said, it would be great if we could relocate to a separate office away from the main shop.",Compensation & Benefits,It would be great if we still have UTO. They are very helpful and useful for us when we have issues outside of work. When we would only need an hour or two sporadically. Or issue UTO either quarterly to prevent misuse.,Company Policy
id-118893959956,Project Management,North Carolina - Charlotte Corporate Office (Westport and Old Dowd),70.76923077,Agree,80,Agree,80,Disagree,40,Strongly agree,100,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,The people and having support from the people around you,People & Relationships,All the things outside of our control that we have to deal with on a day to day basis.  Amount of workload continuously added.  ,Workload & Hours,Neither satisfied nor dissatisfied,60,More company outings to get to know coworkers better.,Stronger Relationships,,No Response
id-118893976123,Document Control,North Carolina - Raleigh Office,70.76923077,Agree,80,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,The people and flexibility,People & Relationships,The pay,Compensation & Benefits,Satisfied,80,"1. Paternity/Maternity Leave  2. Having flexibility to bring kids/dog to work (enclosed offices is a big perk for that being an option, as well as the casual office vibe)",Work-Life Balance,,No Response
id-118895704498,Accounting,Georgia - Atlanta Office,70.76923077,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Billing and working with the PM's.,People & Relationships,There is nothing that I don't really enjoy.  I enjoy the work that I do.,No Complaints,Extremely satisfied,100,I wish Stuart was still in our office!  I believe the merger and the changes that were made would have been easier to accept.  We have had to adapt to the way the Raleigh office operates.,Workload & Staffing,I love my job at SteelFab!  I've been here 21 years and it's a wonderful company to work with.,Gratitude & Appreciation
id-118896088971,Shop Leadership,Washington - Spokane Shop,70.76923077,Agree,80,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,learning new things. and the opportunities that are available.,Learning & Growth,Working 6 days a week,Workload & Hours,Satisfied,80,"A stable schedule. And if more hours are needed to finish the work at hand, employees should be given such notice as it applies for when asking for time off. 2 weeks advance",Work-Life Balance,,No Response
id-118897753025,Shop Leadership,Washington - Spokane Shop,70.76923077,Agree,80,Strongly disagree,20,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,"Fast paced, comradery with my crew. ",People & Relationships,Seeing people being moved up into leadership positions that have not put the work in and have little to no experience.,Management & Leadership,Neither satisfied nor dissatisfied,60,Leadership that is capable of getting in with the crew to accomplish tasks.,Management & Leadership,,No Response
id-118899279562,Programmer,Texas - Oakwood Office and Shop,70.76923077,Agree,80,Agree,80,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,I feel secure. ,Compensation & Security,"Right now, is that I work in a broom closet. But I do know that is going to change",Physical Environment,Satisfied,80,My office.,Physical Environment,,No Response
id-118900173885,Shipping Supervisor,Washington - Spokane Shop,70.76923077,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,enjoy the people I deal with  ,People & Relationships,,No Response,Satisfied,80,,No Response,,No Response
